Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2021-08-01,The Natural,1984,https://boxd.it/22eV1H,,Yes,,2021-07-31
2021-08-01,The Sandlot,1993,https://boxd.it/22eV5J,,Yes,,2021-07-31
2023-12-15,WandaVision,2021,https://boxd.it/5kadg7,5,,,2021-10-14
2022-02-21,The Sum of All Fears,2002,https://boxd.it/2BdDst,,,,2022-02-20
2022-06-09,WALL·E,2008,https://boxd.it/2UCaOL,5,,,2022-06-08
2023-01-03,American Hustle,2013,https://boxd.it/3DrxiB,4,Yes,,2023-01-02
