Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2025-02-14,Super Bowl LIX,2025,,,,"tubi, with kaitlyn, with roo",2025-02-09
2025-03-04,The 97th Academy Awards,,,,,"hulu, with kaitlyn, with roo",2025-03-03
