Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2025-02-14,Super Bowl LIX,2025,,,,Thanks for finding out that I can log this @Justin,"tubi, with kaitlyn, with roo",2025-02-09
2025-03-04,The 97th Academy Awards,,,,,You already know I’m logging this,"hulu, with kaitlyn, with roo",2025-03-03
